"CNES","VINC_SUS","TPGESTAO","QTLEITP1","QTLEITP2","CODUFMUN","DT_ATUAL","COMPETEN","CNES_integer","FANTASIA","munResStatus","munResTipo","munResNome","munResUf","munResLat","munResLon","munResAlt","munResArea","CODESTAB","ano","mes","mes.nasc","Ano.nasc","dia","datacompleta"
"2265052","Sim","Municipal",71,2,"431490","201801","201801","2265052","HOSPITAL FEMINA SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265052","2018","01","01","2018","31",2018-01-31
"2265060","Sim","Municipal",200,9,"431490","201801","201801","2265060","HOSPITAL CRISTO REDENTOR SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265060","2018","01","01","2018","31",2018-01-31
"2693801","Sim","Municipal",29,295,"431490","201802","201801","2693801","ASSOCIACAO HOSPITALAR VILA NOVA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2693801","2018","01","01","2018","31",2018-01-31
"2778718","Sim","Municipal",74,5,"431490","201712","201801","2778718","HPS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2778718","2018","01","01","2018","31",2018-01-31
"3006522","Sim","Municipal",151,165,"431490","201711","201801","3006522","HOSPITAL MOINHOS DE VENTO","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3006522","2018","01","01","2018","31",2018-01-31
"3007847","Sim","Municipal",162,58,"431490","201801","201801","3007847","HOSPITAL MAE DE DEUS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3007847","2018","01","01","2018","31",2018-01-31
"3567664","Sim","Municipal",100,110,"431490","201707","201801","3567664","HOSPITAL ERNESTO DORNELLES","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3567664","2018","01","01","2018","31",2018-01-31
"5026253","Sim","Municipal",36,110,"431490","201611","201801","5026253","HOSPITAL PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5026253","2018","01","01","2018","31",2018-01-31
"5029880","Não","Municipal",2,0,"431490","201101","201801","5029880","DIAGLASER","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5029880","2018","01","01","2018","31",2018-01-31
"6295320","Sim","Municipal",4,150,"431490","201802","201801","6295320","AESC HOSPITAL SANTA ANA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"6295320","2018","01","01","2018","31",2018-01-31
"7092571","Sim","Municipal",85,5,"431490","201801","201801","7092571","HOSPITAL INDEPENDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7092571","2018","01","01","2018","31",2018-01-31
"7349165","Não","Municipal",15,0,"431490","201602","201801","7349165","CENTRO DE OLHOS HOSPITAL DIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7349165","2018","01","01","2018","31",2018-01-31
"2237156","Não","Municipal",54,28,"431490","201706","201802","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","02","02","2018","31",
"2237253","Sim","Municipal",353,292,"431490","201802","201802","2237253","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237253","2018","02","02","2018","31",
"2237261","Sim","Municipal",51,68,"431490","201711","201802","2237261","HOSPITAL BENEFICENCIA PORTUGUESA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237261","2018","02","02","2018","31",
"2237571","Sim","Municipal",340,528,"431490","201802","201802","2237571","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237571","2018","02","02","2018","31",
"2237598","Sim","Municipal",67,35,"431490","201801","201802","2237598","HOSPITAL DIVINA PROVIDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237598","2018","02","02","2018","31",
"2237601","Sim","Municipal",182,365,"431490","201802","201802","2237601","HOSPITAL DE CLINICAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237601","2018","02","02","2018","31",
"2237822","Sim","Municipal",8,1,"431490","201803","201802","2237822","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237822","2018","02","02","2018","31",
"2237849","Sim","Municipal",159,105,"431490","201712","201802","2237849","INSTITUTO DE CARDIOLOGIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237849","2018","02","02","2018","31",
"2237881","Sim","Municipal",16,4,"431490","201802","201802","2237881","HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237881","2018","02","02","2018","31",
"2262568","Sim","Municipal",175,175,"431490","201801","201802","2262568","HOSPITAL SAO LUCAS DA PUCRS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2262568","2018","02","02","2018","31",
"2265052","Sim","Municipal",71,2,"431490","201801","201802","2265052","HOSPITAL FEMINA SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265052","2018","02","02","2018","31",
"2265060","Sim","Municipal",194,9,"431490","201802","201802","2265060","HOSPITAL CRISTO REDENTOR SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265060","2018","02","02","2018","31",
"2693801","Sim","Municipal",29,295,"431490","201802","201802","2693801","ASSOCIACAO HOSPITALAR VILA NOVA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2693801","2018","02","02","2018","31",
"2778718","Sim","Municipal",74,5,"431490","201712","201802","2778718","HPS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2778718","2018","02","02","2018","31",
"3006522","Sim","Municipal",151,165,"431490","201711","201802","3006522","HOSPITAL MOINHOS DE VENTO","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3006522","2018","02","02","2018","31",
"3007847","Sim","Municipal",162,58,"431490","201801","201802","3007847","HOSPITAL MAE DE DEUS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3007847","2018","02","02","2018","31",
"3567664","Sim","Municipal",100,110,"431490","201707","201802","3567664","HOSPITAL ERNESTO DORNELLES","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3567664","2018","02","02","2018","31",
"5026253","Sim","Municipal",36,110,"431490","201611","201802","5026253","HOSPITAL PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5026253","2018","02","02","2018","31",
"5029880","Não","Municipal",2,0,"431490","201101","201802","5029880","DIAGLASER","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5029880","2018","02","02","2018","31",
"6295320","Sim","Municipal",4,150,"431490","201802","201802","6295320","AESC HOSPITAL SANTA ANA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"6295320","2018","02","02","2018","31",
"7092571","Sim","Municipal",85,5,"431490","201801","201802","7092571","HOSPITAL INDEPENDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7092571","2018","02","02","2018","31",
"7349165","Não","Municipal",15,0,"431490","201602","201802","7349165","CENTRO DE OLHOS HOSPITAL DIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7349165","2018","02","02","2018","31",
"2237156","Não","Municipal",54,28,"431490","201706","201803","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","03","03","2018","31",2018-03-31
"2237253","Sim","Municipal",356,292,"431490","201803","201803","2237253","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237253","2018","03","03","2018","31",2018-03-31
"2237261","Sim","Municipal",51,68,"431490","201711","201803","2237261","HOSPITAL BENEFICENCIA PORTUGUESA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237261","2018","03","03","2018","31",2018-03-31
"2237571","Sim","Municipal",340,528,"431490","201801","201803","2237571","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237571","2018","03","03","2018","31",2018-03-31
"2237598","Sim","Municipal",67,35,"431490","201803","201803","2237598","HOSPITAL DIVINA PROVIDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237598","2018","03","03","2018","31",2018-03-31
"2237601","Sim","Municipal",182,365,"431490","201802","201803","2237601","HOSPITAL DE CLINICAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237601","2018","03","03","2018","31",2018-03-31
"2237822","Sim","Municipal",8,1,"431490","201804","201803","2237822","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237822","2018","03","03","2018","31",2018-03-31
"2237849","Sim","Municipal",159,105,"431490","201803","201803","2237849","INSTITUTO DE CARDIOLOGIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237849","2018","03","03","2018","31",2018-03-31
"2237881","Sim","Municipal",16,4,"431490","201802","201803","2237881","HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237881","2018","03","03","2018","31",2018-03-31
"2262568","Sim","Municipal",175,175,"431490","201804","201803","2262568","HOSPITAL SAO LUCAS DA PUCRS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2262568","2018","03","03","2018","31",2018-03-31
"2265052","Sim","Municipal",40,27,"431490","201803","201803","2265052","HOSPITAL FEMINA SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265052","2018","03","03","2018","31",2018-03-31
"2265060","Sim","Municipal",194,9,"431490","201802","201803","2265060","HOSPITAL CRISTO REDENTOR SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265060","2018","03","03","2018","31",2018-03-31
"2693801","Sim","Municipal",29,328,"431490","201804","201803","2693801","ASSOCIACAO HOSPITALAR VILA NOVA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2693801","2018","03","03","2018","31",2018-03-31
"2778718","Sim","Municipal",74,5,"431490","201712","201803","2778718","HPS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2778718","2018","03","03","2018","31",2018-03-31
"3006522","Sim","Municipal",151,165,"431490","201711","201803","3006522","HOSPITAL MOINHOS DE VENTO","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3006522","2018","03","03","2018","31",2018-03-31
"3007847","Sim","Municipal",162,58,"431490","201803","201803","3007847","HOSPITAL MAE DE DEUS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3007847","2018","03","03","2018","31",2018-03-31
"3567664","Sim","Municipal",100,110,"431490","201803","201803","3567664","HOSPITAL ERNESTO DORNELLES","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3567664","2018","03","03","2018","31",2018-03-31
"5026253","Sim","Municipal",36,110,"431490","201611","201803","5026253","HOSPITAL PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5026253","2018","03","03","2018","31",2018-03-31
"5029880","Não","Municipal",2,0,"431490","201101","201803","5029880","DIAGLASER","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5029880","2018","03","03","2018","31",2018-03-31
"6295320","Sim","Municipal",4,150,"431490","201803","201803","6295320","AESC HOSPITAL SANTA ANA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"6295320","2018","03","03","2018","31",2018-03-31
"7092571","Sim","Municipal",85,5,"431490","201801","201803","7092571","HOSPITAL INDEPENDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7092571","2018","03","03","2018","31",2018-03-31
"7349165","Não","Municipal",15,0,"431490","201602","201803","7349165","CENTRO DE OLHOS HOSPITAL DIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7349165","2018","03","03","2018","31",2018-03-31
"2237156","Não","Municipal",54,28,"431490","201706","201804","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","04","04","2018","31",
"2237253","Sim","Municipal",344,297,"431490","201805","201804","2237253","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237253","2018","04","04","2018","31",
"2237261","Sim","Municipal",51,68,"431490","201711","201804","2237261","HOSPITAL BENEFICENCIA PORTUGUESA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237261","2018","04","04","2018","31",
"2237571","Sim","Municipal",207,357,"431490","201804","201804","2237571","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237571","2018","04","04","2018","31",
"2237598","Sim","Municipal",67,35,"431490","201803","201804","2237598","HOSPITAL DIVINA PROVIDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237598","2018","04","04","2018","31",
"2237601","Sim","Municipal",182,365,"431490","201802","201804","2237601","HOSPITAL DE CLINICAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237601","2018","04","04","2018","31",
"2237822","Sim","Municipal",8,1,"431490","201805","201804","2237822","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237822","2018","04","04","2018","31",
"2237849","Sim","Municipal",159,105,"431490","201803","201804","2237849","INSTITUTO DE CARDIOLOGIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237849","2018","04","04","2018","31",
"2237881","Sim","Municipal",16,4,"431490","201805","201804","2237881","HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237881","2018","04","04","2018","31",
"2262568","Sim","Municipal",175,175,"431490","201804","201804","2262568","HOSPITAL SAO LUCAS DA PUCRS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2262568","2018","04","04","2018","31",
"2265052","Sim","Municipal",40,27,"431490","201803","201804","2265052","HOSPITAL FEMINA SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265052","2018","04","04","2018","31",
"2265060","Sim","Municipal",194,9,"431490","201804","201804","2265060","HOSPITAL CRISTO REDENTOR SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265060","2018","04","04","2018","31",
"2693801","Sim","Municipal",29,328,"431490","201805","201804","2693801","ASSOCIACAO HOSPITALAR VILA NOVA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2693801","2018","04","04","2018","31",
"2778718","Sim","Municipal",74,5,"431490","201803","201804","2778718","HPS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2778718","2018","04","04","2018","31",
"3006522","Sim","Municipal",151,165,"431490","201711","201804","3006522","HOSPITAL MOINHOS DE VENTO","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3006522","2018","04","04","2018","31",
"3007847","Sim","Municipal",162,58,"431490","201803","201804","3007847","HOSPITAL MAE DE DEUS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3007847","2018","04","04","2018","31",
"3567664","Sim","Municipal",100,110,"431490","201803","201804","3567664","HOSPITAL ERNESTO DORNELLES","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3567664","2018","04","04","2018","31",
"5026253","Não","Municipal",36,110,"431490","201805","201804","5026253","HOSPITAL PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5026253","2018","04","04","2018","31",
"5029880","Não","Municipal",2,0,"431490","201101","201804","5029880","DIAGLASER","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5029880","2018","04","04","2018","31",
"6295320","Sim","Municipal",4,150,"431490","201804","201804","6295320","AESC HOSPITAL SANTA ANA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"6295320","2018","04","04","2018","31",
"7092571","Sim","Municipal",85,5,"431490","201801","201804","7092571","HOSPITAL INDEPENDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7092571","2018","04","04","2018","31",
"7349165","Não","Municipal",15,0,"431490","201602","201804","7349165","CENTRO DE OLHOS HOSPITAL DIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7349165","2018","04","04","2018","31",
"2237156","Não","Municipal",54,28,"431490","201806","201805","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","05","05","2018","31",2018-05-31
"2237253","Sim","Municipal",344,297,"431490","201806","201805","2237253","IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237253","2018","05","05","2018","31",2018-05-31
"2237261","Sim","Municipal",51,68,"431490","201805","201805","2237261","HOSPITAL BENEFICENCIA PORTUGUESA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237261","2018","05","05","2018","31",2018-05-31
"2237571","Sim","Municipal",207,357,"431490","201805","201805","2237571","HOSPITAL NOSSA SENHORA DA CONCEICAO SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237571","2018","05","05","2018","31",2018-05-31
"2237598","Sim","Municipal",67,35,"431490","201803","201805","2237598","HOSPITAL DIVINA PROVIDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237598","2018","05","05","2018","31",2018-05-31
"2237601","Sim","Municipal",182,365,"431490","201802","201805","2237601","HOSPITAL DE CLINICAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237601","2018","05","05","2018","31",2018-05-31
"2237822","Sim","Municipal",8,1,"431490","201806","201805","2237822","HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237822","2018","05","05","2018","31",2018-05-31
"2237849","Sim","Municipal",159,105,"431490","201805","201805","2237849","INSTITUTO DE CARDIOLOGIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237849","2018","05","05","2018","31",2018-05-31
"2237881","Sim","Municipal",16,4,"431490","201805","201805","2237881","HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237881","2018","05","05","2018","31",2018-05-31
"2262568","Sim","Municipal",175,188,"431490","201806","201805","2262568","HOSPITAL SAO LUCAS DA PUCRS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2262568","2018","05","05","2018","31",2018-05-31
"2265052","Sim","Municipal",37,27,"431490","201805","201805","2265052","HOSPITAL FEMINA SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265052","2018","05","05","2018","31",2018-05-31
"2265060","Sim","Municipal",194,9,"431490","201805","201805","2265060","HOSPITAL CRISTO REDENTOR SA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2265060","2018","05","05","2018","31",2018-05-31
"2693801","Sim","Municipal",29,328,"431490","201806","201805","2693801","ASSOCIACAO HOSPITALAR VILA NOVA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2693801","2018","05","05","2018","31",2018-05-31
"2778718","Sim","Municipal",74,5,"431490","201803","201805","2778718","HPS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2778718","2018","05","05","2018","31",2018-05-31
"3006522","Sim","Municipal",151,165,"431490","201711","201805","3006522","HOSPITAL MOINHOS DE VENTO","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3006522","2018","05","05","2018","31",2018-05-31
"3007847","Sim","Municipal",162,58,"431490","201806","201805","3007847","HOSPITAL MAE DE DEUS","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3007847","2018","05","05","2018","31",2018-05-31
"3567664","Sim","Municipal",100,110,"431490","201803","201805","3567664","HOSPITAL ERNESTO DORNELLES","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"3567664","2018","05","05","2018","31",2018-05-31
"5026253","Não","Municipal",36,110,"431490","201805","201805","5026253","HOSPITAL PORTO ALEGRE","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5026253","2018","05","05","2018","31",2018-05-31
"5029880","Não","Municipal",2,0,"431490","201101","201805","5029880","DIAGLASER","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"5029880","2018","05","05","2018","31",2018-05-31
"6295320","Sim","Municipal",4,150,"431490","201805","201805","6295320","AESC HOSPITAL SANTA ANA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"6295320","2018","05","05","2018","31",2018-05-31
"7092571","Sim","Municipal",85,5,"431490","201805","201805","7092571","HOSPITAL INDEPENDENCIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7092571","2018","05","05","2018","31",2018-05-31
"7349165","Não","Municipal",15,0,"431490","201602","201805","7349165","CENTRO DE OLHOS HOSPITAL DIA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"7349165","2018","05","05","2018","31",2018-05-31
"2237156","Não","Municipal",54,28,"431490","201806","201806","2237156","HBMPA","ATIVO","MUNIC","Porto Alegre","Rio Grande do Sul","-30.03004","-51.22866","42",496.682,"2237156","2018","06","06","2018","31",
